City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
270,buchanan,LR,5.8808,-10.0467,75.09,78,97,8.59,overcast clouds
271,bodo,NO,67.28,14.405,50.65,92,75,12.66,broken clouds
272,sorong,ID,-0.8833,131.25,77.32,86,96,8.1,overcast clouds
273,talnakh,RU,69.4865,88.3972,54.21,95,100,6.17,light rain
274,havre-saint-pierre,CA,50.2334,-63.5986,62.96,82,0,13.8,clear sky
275,hearst,CA,49.6835,-83.6665,66.45,42,31,5.12,scattered clouds
276,seymchan,RU,62.8833,152.4333,70.12,65,50,3.71,scattered clouds
277,ribas do rio pardo,BR,-20.4431,-53.7592,75.65,52,98,2.75,overcast clouds
278,san patricio,US,28.017,-97.5169,94.17,46,63,16.78,broken clouds
279,okhotsk,RU,59.3833,143.3,55.45,83,100,9.78,overcast clouds
280,leshukonskoye,RU,64.8989,45.7622,58.89,87,100,4.21,overcast clouds
281,isangel,VU,-19.55,169.2667,80.11,72,5,4.99,clear sky
282,anadyr,RU,64.75,177.4833,46.9,52,40,22.37,scattered clouds
283,caranavi,BO,-15.8167,-67.55,65.21,83,98,1.1,light rain
284,salalah,OM,17.0151,54.0924,75.29,100,100,4.61,mist
285,balykshi,KZ,47.0667,51.8667,71.6,26,0,8.95,clear sky
286,sorland,NO,67.667,12.6934,52.59,82,76,8.14,broken clouds
287,quzhou,CN,28.9594,118.8686,77.81,82,70,1.95,broken clouds
288,goderich,CA,43.7501,-81.7165,82.72,69,100,10.36,overcast clouds
289,kaitangata,NZ,-46.2817,169.8464,40.91,60,81,12.24,broken clouds
290,avera,US,33.194,-82.5271,87.39,50,96,2.62,overcast clouds
291,torbay,CA,47.6666,-52.7314,72.54,87,48,17.36,scattered clouds
292,san quintin,MX,30.4833,-115.95,78.08,71,87,6.24,overcast clouds
293,kavaratti,IN,10.5669,72.642,80.49,83,99,23.89,overcast clouds
294,sloboda,RU,51.1421,40.3021,69.35,38,14,5.46,few clouds
295,la ronge,CA,55.1001,-105.2842,80.85,32,40,14.97,scattered clouds
296,riyadh,SA,24.6877,46.7219,96.94,21,1,7.78,clear sky
297,bethanien,NA,-26.502,17.1583,48.09,66,0,1.81,clear sky
298,mehamn,NO,71.0357,27.8492,49.95,87,75,11.5,light rain
299,stolbishche,RU,55.6468,49.216,71.64,64,0,0.0,clear sky
300,harper,LR,4.375,-7.7169,73.76,80,100,8.5,overcast clouds
301,zhoucun,CN,36.8167,117.8167,83.55,81,93,2.8,overcast clouds
